timestamp,Station | Dostyk St,Station | Astana Mall,Station | Seifullin St,Station | Triumphal Arch,Station | Palace of Peace,Station | Zhastar Ave,Station | Khan Shatyr,Station | Shakarim St,Station | Central Park,Station | Kosmonavtov St,Station | Kenesary St,Station | Saryarka Ave,Station | Botanical Garden,Station | Abylai Khan Ave,Station | Respublika Ave,Station | Syganak St,Station | Keruen City,Station | Turan Ave,Station | Bogenbai Batyr Ave,Station | Mangilik El Ave,Station | University Quarter,Station | Expo 2017,Station | Kabanbay Batyr Ave,Station | Mega Silk Way,Station | Baiterek,Station | Sarayshyk St,Station | River Embankment,Station | Nurly Zhol,Line | Line 1,Line | Line 2,Line | Line 3,Line | Line 4,Line | Line 5,Line | Line 6,Line | Line 7,Line | Line 8,Line | Line 9,District | Esil,District | Almaty,District | Saryarka,District | Baikonur,Network | Total
2025-10-01 05:00:00,6.0,6.0,8.0,6.0,3.0,4.0,4.0,4.0,0.0,5.0,4.0,4.0,6.0,3.0,10.0,3.0,0.0,5.0,5.0,5.0,7.0,1.0,5.0,6.0,12.0,3.0,2.0,3.0,41.0,47.0,54.0,51.0,47.0,37.0,47.0,46.0,45.0,46.0,33.0,33.0,18.0,130.0
2025-10-01 05:15:00,10.0,10.0,4.0,4.0,3.0,11.0,5.0,6.0,6.0,4.0,3.0,6.0,5.0,5.0,10.0,9.0,5.0,5.0,5.0,13.0,2.0,10.0,8.0,6.0,12.0,2.0,2.0,7.0,65.0,69.0,70.0,69.0,62.0,53.0,70.0,59.0,61.0,50.0,38.0,44.0,46.0,178.0
2025-10-01 05:30:00,4.0,1.0,10.0,6.0,11.0,7.0,4.0,7.0,10.0,5.0,4.0,7.0,1.0,2.0,9.0,8.0,4.0,6.0,4.0,7.0,4.0,4.0,6.0,9.0,9.0,7.0,5.0,5.0,55.0,45.0,63.0,66.0,58.0,55.0,68.0,74.0,63.0,44.0,51.0,47.0,24.0,166.0
2025-10-01 05:45:00,3.0,8.0,6.0,7.0,9.0,12.0,7.0,5.0,9.0,4.0,6.0,7.0,7.0,7.0,13.0,6.0,7.0,7.0,5.0,5.0,1.0,4.0,4.0,11.0,9.0,4.0,4.0,7.0,65.0,72.0,73.0,65.0,52.0,49.0,68.0,76.0,70.0,53.0,53.0,39.0,39.0,184.0
2025-10-01 06:00:00,17.0,6.0,21.0,4.0,24.0,16.0,27.0,3.0,10.0,8.0,17.0,8.0,11.0,21.0,13.0,26.0,12.0,9.0,20.0,8.0,16.0,15.0,22.0,23.0,31.0,11.0,20.0,29.0,194.0,174.0,163.0,166.0,148.0,106.0,144.0,187.0,186.0,135.0,140.0,102.0,71.0,448.0
2025-10-01 06:15:00,8.0,30.0,32.0,21.0,11.0,41.0,22.0,3.0,33.0,13.0,17.0,24.0,10.0,5.0,11.0,18.0,14.0,10.0,39.0,12.0,26.0,15.0,24.0,15.0,22.0,26.0,21.0,30.0,211.0,196.0,199.0,193.0,172.0,161.0,217.0,250.0,225.0,155.0,122.0,149.0,127.0,553.0
2025-10-01 06:30:00,10.0,33.0,20.0,15.0,26.0,27.0,34.0,14.0,70.0,15.0,20.0,16.0,24.0,7.0,12.0,39.0,11.0,13.0,19.0,13.0,16.0,24.0,29.0,19.0,25.0,13.0,30.0,23.0,238.0,212.0,194.0,198.0,182.0,173.0,264.0,279.0,286.0,173.0,162.0,175.0,107.0,617.0
2025-10-01 06:45:00,19.0,26.0,23.0,27.0,12.0,26.0,19.0,5.0,42.0,9.0,8.0,30.0,27.0,14.0,12.0,15.0,20.0,9.0,76.0,14.0,14.0,19.0,21.0,19.0,53.0,32.0,13.0,24.0,234.0,303.0,288.0,256.0,215.0,132.0,193.0,213.0,246.0,208.0,115.0,195.0,110.0,628.0
2025-10-01 07:00:00,17.0,9.0,24.0,20.0,19.0,22.0,33.0,8.0,43.0,15.0,5.0,17.0,25.0,18.0,15.0,20.0,27.0,14.0,38.0,4.0,9.0,25.0,15.0,49.0,34.0,9.0,20.0,26.0,202.0,275.0,283.0,251.0,184.0,133.0,182.0,197.0,207.0,212.0,121.0,159.0,88.0,580.0
2025-10-01 07:15:00,15.0,37.0,43.0,26.0,20.0,22.0,39.0,14.0,32.0,13.0,14.0,42.0,15.0,10.0,20.0,25.0,17.0,16.0,22.0,23.0,11.0,20.0,29.0,47.0,53.0,29.0,12.0,43.0,301.0,302.0,284.0,277.0,203.0,178.0,216.0,248.0,312.0,253.0,143.0,171.0,142.0,709.0
2025-10-01 07:30:00,28.0,29.0,12.0,18.0,30.0,29.0,63.0,12.0,45.0,30.0,14.0,15.0,27.0,43.0,34.0,24.0,33.0,24.0,44.0,21.0,8.0,39.0,30.0,14.0,61.0,54.0,22.0,38.0,391.0,368.0,315.0,279.0,254.0,168.0,255.0,328.0,388.0,245.0,251.0,195.0,150.0,841.0
2025-10-01 07:45:00,23.0,47.0,53.0,46.0,57.0,28.0,56.0,7.0,72.0,10.0,27.0,31.0,24.0,21.0,39.0,34.0,26.0,31.0,65.0,17.0,32.0,74.0,45.0,35.0,46.0,17.0,13.0,28.0,423.0,425.0,415.0,399.0,289.0,208.0,357.0,389.0,426.0,344.0,218.0,296.0,146.0,1004.0
2025-10-01 08:00:00,30.0,21.0,32.0,23.0,32.0,22.0,57.0,15.0,122.0,21.0,62.0,31.0,28.0,17.0,47.0,41.0,24.0,31.0,77.0,8.0,15.0,30.0,15.0,45.0,107.0,12.0,18.0,31.0,391.0,437.0,373.0,362.0,282.0,180.0,342.0,407.0,490.0,336.0,250.0,322.0,106.0,1014.0
2025-10-01 08:15:00,27.0,26.0,46.0,29.0,20.0,76.0,72.0,13.0,56.0,17.0,24.0,24.0,57.0,30.0,40.0,31.0,39.0,49.0,70.0,42.0,15.0,42.0,52.0,66.0,40.0,15.0,31.0,31.0,361.0,466.0,460.0,395.0,336.0,285.0,421.0,409.0,385.0,345.0,208.0,313.0,214.0,1080.0
2025-10-01 08:30:00,33.0,21.0,32.0,24.0,27.0,35.0,62.0,23.0,64.0,21.0,27.0,17.0,27.0,16.0,32.0,16.0,35.0,25.0,83.0,34.0,42.0,26.0,38.0,42.0,26.0,21.0,14.0,30.0,313.0,355.0,379.0,333.0,296.0,199.0,324.0,355.0,341.0,266.0,174.0,298.0,155.0,893.0
2025-10-01 08:45:00,15.0,44.0,58.0,26.0,20.0,54.0,49.0,18.0,64.0,35.0,18.0,45.0,15.0,23.0,43.0,45.0,51.0,49.0,69.0,15.0,22.0,32.0,36.0,46.0,46.0,19.0,38.0,34.0,349.0,420.0,433.0,412.0,342.0,289.0,392.0,397.0,379.0,281.0,241.0,309.0,198.0,1029.0
2025-10-01 09:00:00,35.0,45.0,56.0,33.0,17.0,33.0,35.0,20.0,49.0,14.0,24.0,31.0,27.0,16.0,37.0,59.0,42.0,11.0,50.0,23.0,33.0,45.0,22.0,40.0,41.0,27.0,26.0,37.0,335.0,372.0,409.0,399.0,332.0,264.0,326.0,316.0,308.0,285.0,220.0,243.0,180.0,928.0
2025-10-01 09:15:00,28.0,44.0,53.0,60.0,13.0,38.0,56.0,9.0,45.0,3.0,19.0,26.0,34.0,21.0,36.0,24.0,31.0,18.0,56.0,27.0,15.0,18.0,29.0,31.0,68.0,47.0,41.0,41.0,366.0,385.0,370.0,329.0,322.0,255.0,333.0,342.0,380.0,308.0,204.0,238.0,181.0,931.0
2025-10-01 09:30:00,23.0,15.0,19.0,13.0,14.0,23.0,19.0,8.0,23.0,10.0,9.0,21.0,11.0,21.0,20.0,19.0,29.0,5.0,63.0,18.0,14.0,78.0,12.0,28.0,30.0,28.0,21.0,20.0,254.0,315.0,324.0,303.0,215.0,131.0,168.0,189.0,175.0,214.0,142.0,153.0,105.0,614.0
2025-10-01 09:45:00,13.0,19.0,65.0,19.0,26.0,16.0,18.0,1.0,41.0,12.0,12.0,5.0,19.0,7.0,14.0,31.0,13.0,40.0,22.0,17.0,11.0,41.0,31.0,27.0,37.0,26.0,20.0,24.0,247.0,208.0,244.0,243.0,207.0,181.0,240.0,261.0,274.0,177.0,148.0,213.0,89.0,627.0
2025-10-01 10:00:00,27.0,22.0,24.0,21.0,24.0,21.0,14.0,13.0,38.0,10.0,17.0,16.0,36.0,19.0,20.0,14.0,16.0,13.0,36.0,21.0,20.0,29.0,17.0,28.0,40.0,21.0,21.0,13.0,213.0,256.0,275.0,237.0,206.0,145.0,206.0,225.0,219.0,204.0,146.0,168.0,93.0,611.0
2025-10-01 10:15:00,1.0,17.0,13.0,15.0,6.0,9.0,31.0,13.0,40.0,14.0,15.0,32.0,19.0,13.0,14.0,9.0,28.0,14.0,32.0,8.0,21.0,10.0,14.0,38.0,13.0,34.0,11.0,24.0,192.0,233.0,228.0,190.0,129.0,92.0,155.0,202.0,208.0,179.0,116.0,127.0,86.0,508.0
